|name   |alt_name  |ra         |dec        |vmag |multiple|class                                              |
|HR 3925|          |09 54 17.59|-45 17 02.0| 5.71|W       |                                           STAR B3V|
|HR 2211|          |06 10 39.91|-45 16 54.8| 6.31|        |                                           STAR A0V|
|HR 5626|Lam Lup   |15 08 50.59|-45 16 46.9| 4.05|W       |                                           STAR B3V|
|HR 5643|          |15 11 31.90|-45 16 45.8| 7.39|W       |                                         STAR K0III|
|HR 7461|          |19 39 42.00|-45 16 41.2| 6.25|        |                                          STAR F2IV|
|HR 5642|          |15 11 34.90|-45 16 39.0| 6.44|W       |                                         STAR K1III|
|HR 7416|          |19 33 21.60|-45 16 18.8| 5.61|        |                                            STAR A0|
|HR 3187|          |08 06 40.39|-45 15 59.0| 5.05|        |                                         STAR K3III|
|HR 8820|Iot Gru   |23 10 21.60|-45 14 48.1| 3.90|        |                                         STAR K1III|
|HR 6160|          |16 35 07.90|-45 14 40.9| 6.46|        |                                         STAR K2III|
|HR 3074|          |07 51 20.50|-43 05 44.2| 6.32|        |                                          STAR B2IV|
|HR 5395|Tau1Lup   |14 26 08.21|-45 13 17.0| 4.56|W       |                                          STAR B2IV|
|HR 3137|          |07 59 01.80|-45 12 58.0| 5.99|        |                                           STAR B4V|
|HR 7281|          |19 14 39.70|-45 11 35.9| 5.92|        |                                         STAR G8III|
|HR 3444|          |08 40 35.30|-45 11 29.0| 5.71|        |                                         STAR M0III|
|HR 5364|          |14 20 42.50|-45 11 13.9| 4.77|        |                                          STAR F0IV|
|HR 2746|          |07 13 13.39|-45 10 59.2| 4.89|        |                                            STAR A0|
|HR 4546|          |11 51 08.71|-45 10 25.0| 4.46|        |                                         STAR K3III|
|HR 2998|          |07 42 57.19|-45 10 23.9| 5.06|        |                                          STAR G6IV|
|HR 5980|Del Nor   |16 06 29.40|-45 10 23.9| 4.72|        |                                            STAR A0|
|HR 7630|          |20 00 48.31|-45 06 47.2| 5.81|        |                                         STAR A8III|
|HR 2178|          |06 07 01.90|-45 05 29.0| 6.51|        |                                         STAR K1III|
|HR 8993|          |23 44 01.39|-45 04 59.9| 6.09|        |                                         STAR K1III|
|HR 2158|          |06 04 40.20|-45 04 44.0| 5.93|W       |                                           STAR F4V|
|HR 4136|          |10 31 56.59|-45 04 09.8| 6.09|W       |                                          STAR B8II|
|HR 4135|          |10 31 57.50|-45 04 00.1| 5.74|W       |                                          STAR B6II|
|HR 3562|          |08 55 19.30|-45 02 30.1| 6.26|W       |                                          STAR B3IV|
|HR 2157|          |06 04 28.39|-45 02 12.1| 6.35|W       |                                          STAR G0IV|
|HR 8145|          |21 20 09.50|-45 01 19.9| 6.00|        |                                               STAR|
|HR 5325|          |14 15 38.81|-45 00 02.9| 6.31|        |                                           STAR F9V|
|HR 5781|          |15 35 53.21|-44 57 31.0| 4.54|W       |                                          STAR B3IV|
|HR 1443|Del Cae   |04 30 50.09|-44 57 14.0| 5.07|        |                                          STAR B2IV|
|HR 3688|          |09 16 04.20|-44 53 55.0| 6.04|W       |                                           STAR A1I|
|HR 2032|          |05 49 34.10|-44 52 31.1| 6.38|        |                                         STAR K1III|
|HR 3654|          |09 11 04.39|-44 52 05.2| 5.00|        |                                           STAR B5I|
|HR 8236|          |21 33 23.50|-44 50 55.0| 5.57|        |                                         STAR K1III|
|HR 8929|          |23 31 27.00|-44 50 37.0| 6.02|        |                                         STAR K1III|
|HR 5249|Ups1Cen   |13 58 40.80|-44 48 13.0| 3.87|        |                                          STAR B2IV|
|HR 7343|Bet2Sgr   |19 23 13.20|-44 47 58.9| 4.29|        |                                         STAR F2III|
|HR 171 |          |00 39 52.01|-44 47 48.1| 6.01|        |                                         STAR K1III|
|HR 3886|          |09 46 30.41|-44 45 18.0| 5.55|        |                                          STAR B2IV|
|HR 3057|          |07 49 28.20|-44 45 06.8| 6.32|        |                                         STAR K0III|
|HR 3371|          |08 30 39.19|-44 44 13.9| 6.30|W       |                                          STAR B4IV|
|HR 3359|          |08 29 27.60|-44 43 30.0| 4.99|W       |                                          STAR B2IV|
|HR 602 |Chi Phe   |02 01 42.41|-44 42 49.0| 5.14|        |                                         STAR K5III|
|HR 5708|Eps Lup   |15 22 40.90|-44 41 21.8| 3.37|W       |                                          STAR B2IV|
|HR 4788|          |12 34 42.31|-44 40 23.9| 5.77|W       |                                           STAR G1V|
|HR 5825|          |15 41 11.30|-44 39 40.0| 4.64|        |                                          STAR F5IV|
|HR 4393|          |11 22 23.11|-44 38 44.9| 6.12|        |                                         STAR G8III|
|HR 2748|          |07 13 32.40|-44 38 22.9| 5.10|W       |                                         STAR M5III|
|HR 2984|          |07 41 21.79|-44 37 55.9| 6.41|        |                                          STAR B7IV|
|HR 4139|          |10 32 33.60|-44 37 08.0| 5.91|        |                                         STAR G6III|
|HR 3069|          |07 50 42.41|-44 34 46.9| 6.45|        |                                         STAR G6III|
|HR 6371|          |17 10 42.29|-44 33 27.0| 5.08|W       |                                         STAR G8III|
|HR 411 |          |01 24 41.90|-44 31 41.9| 6.26|        |                                          STAR K1II|
|HR 7846|Nu  Mic   |20 33 55.10|-44 30 58.0| 5.11|        |                                         STAR K0III|
|HR 5651|          |15 12 49.51|-44 30 02.2| 4.82|        |                                          STAR B3IV|
|HR 8920|          |23 29 00.79|-44 29 52.1| 6.43|        |                                         STAR K2III|
|HR 8846|          |23 16 39.70|-44 29 21.1| 5.92|W       |                                         STAR K1III|
|HR 7337|Bet1Sgr   |19 22 38.30|-44 27 32.0| 4.01|W       |                                           STAR B9V|
|HR 8484|          |22 15 35.09|-44 27 06.8| 6.10|        |                                         STAR G8III|
|HR 968 |          |03 12 25.80|-44 25 10.9| 5.93|W       |                                         STAR F7III|
|HR 5784|          |15 36 12.10|-44 23 48.8| 5.43|        |                                         STAR K4III|
|HR 4354|          |11 13 14.69|-44 22 19.9| 5.80|        |                                         STAR K5III|
|HR 1316|          |04 12 31.61|-44 22 05.9| 6.71|        |                                         STAR K3III|
|HR 2187|          |06 08 34.61|-44 21 22.0| 6.27|W       |                                          STAR B8II|
|HR 6675|          |17 56 47.40|-44 20 31.9| 4.86|        |                                         STAR K2III|
|HR 4624|          |12 08 53.81|-44 19 34.0| 5.75|        |                                            STAR A2|
|HR 9077|          |00 00 19.20|-44 17 26.2| 6.29|W       |                                          STAR G3IV|
|HR 1364|          |04 19 16.61|-44 16 05.2| 5.34|W       |                                         STAR K2III|
|HR 3692|          |09 16 23.11|-44 15 56.9| 5.12|        |                                           STAR K3I|
|HR 8639|          |22 42 43.10|-44 14 52.1| 6.07|        |                                         STAR K0III|
|HR 1813|          |05 24 55.61|-44 13 32.9| 6.08|        |                                         STAR K1III|
|HR 6427|          |17 19 24.50|-44 13 23.2| 6.65|W       |                                           STAR B9V|
|HR 6818|          |18 15 52.70|-44 12 24.1| 5.46|        |                                         STAR G8III|
|HR 6460|          |17 24 13.01|-44 09 45.0| 5.12|        |                                         STAR B7III|
|HR 1404|          |04 25 19.10|-44 09 38.9| 6.39|        |                                           STAR F6V|
|HR 3356|          |08 29 07.61|-44 09 38.2| 5.79|W       |                                           STAR B2V|
|HR 4903|          |12 54 58.49|-44 09 06.8| 5.89|        |                                           STAR G1V|
|HR 3672|          |09 14 08.21|-44 08 44.9| 5.85|        |                                          STAR B5IV|
|HR 5118|          |13 37 06.00|-44 08 35.9| 5.98|        |                                         STAR G8III|
|HR 6420|          |17 18 48.00|-44 07 46.9| 5.76|        |                                           STAR B9V|
|HR 3204|          |08 09 35.90|-44 07 22.1| 5.21|        |                                          STAR B2IV|
|HR 6875|          |18 24 18.19|-44 06 37.1| 5.25|W       |                                           STAR B2V|
|HR 3116|          |07 57 18.41|-44 06 34.9| 5.09|W       |                                          STAR B2IV|
|HR 6338|          |17 05 48.60|-44 06 18.0| 6.19|        |                                         STAR A4III|
|HR 6155|Mu  Nor   |16 34 04.99|-44 02 43.1| 4.94|        |                                           STAR B0I|
|HR 2117|          |05 58 37.61|-44 02 03.8| 5.81|        |                                          STAR G8II|
|HR 7943|Iot Mic   |20 48 29.21|-43 59 19.0| 5.11|W       |                                          STAR F1IV|
|HR 2789|          |07 18 04.20|-43 59 12.1| 5.85|        |                                          STAR B8II|
|HR 1548|          |04 48 33.79|-43 58 48.0| 6.72|        |                                         STAR G8III|
|HR 5008|          |13 17 13.90|-43 58 45.8| 5.84|        |                                            STAR A0|
|HR 2579|          |06 52 47.11|-43 58 32.9| 6.46|W       |                                           STAR B8V|
|HR 6085|          |16 22 28.90|-43 54 43.9| 5.88|W       |                                          STAR G3II|
|HR 6915|          |18 29 12.89|-43 50 44.9| 6.36|        |                                         STAR G8III|
|HR 3101|          |07 55 46.49|-43 50 42.0| 6.02|W       |                                           STAR B6V|
|HR 636 |          |02 10 04.90|-43 48 56.2| 6.32|        |                                         STAR G8III|
